Source,Target,Directed,Weight,Type,Year
"""JT Leroy""",Adam Langer,,1,Directed,
"""JT Leroy""",Dana Adam Shapiro,,1,Directed,
"""JT Leroy""",Eileen Myles,,1,Directed,
"""JT Leroy""",Jerry Stahl,,1,Directed,
"""JT Leroy""",Jodi Angel,,1,Directed,
"""JT Leroy""",Nic Kelman,,1,Directed,
"""JT Leroy""",Rene Steinke,,1,Directed,
"""JT Leroy""",Stephen Elliott,,1,Directed,
A. Alvarez,Ian McEwan,,1,Directed,
A. Alvarez,James Salter,,1,Directed,
A. Igoni Barrett,Jowhor Ile,,1,Directed,
A. Manette Ansay,Anne D. LeClaire,,1,Directed,
A. Manette Ansay,Debra Dean,,1,Directed,
A. Manette Ansay,Diane Goodman,,1,Directed,
A. Manette Ansay,Elizabeth Graver,,1,Directed,
A. Manette Ansay,Jack Driscoll,,1,Directed,
A. Manette Ansay,Jeanne Ray,,1,Directed,
A. Manette Ansay,Lisa Lerner,,1,Directed,
A. Manette Ansay,Meg Waite Clayton,,1,Directed,
A. Manette Ansay,Michael C. White,,1,Directed,
A. Manette Ansay,Stewart O'Nan,,1,Directed,
A. Manette Ansay,Suzanne Matson,,1,Directed,
A.A. Attanasio,Kent Anderson,,1,Directed,
A.A. MacQueen,Terry Kay,,1,Directed,
A.B. Guthrie Jr.,Jack Matthews,,1,Directed,
A.B. Guthrie Jr.,James Lee Burke,,1,Directed,
A.B. Guthrie Jr.,James Willard Schultz,,1,Directed,
A.B. Guthrie Jr.,Robert Flynn,,1,Directed,
A.B. Guthrie Jr.,Theodore Morrison,,1,Directed,
A.B. Guthrie Jr.,William Decker,,1,Directed,
A.C. Greene,Bobby Jack Nelson,,1,Directed,
A.C. Greene,Charles Portis,,1,Directed,
A.D. Jameson,Colin Winnette,,1,Directed,
A.D. Miller,David Bezmozgis,,1,Directed,
A.D. Miller,Jonathan Lee,,1,Directed,
A.D. Miller,Simon Sebag Montefiore,,1,Directed,
A.E. Hotchner,David A. Tate,,1,Directed,
A.E. van Vogt,George R.R. Martin,,1,Directed,
A.F. Moritz,Ray Robertson,,1,Directed,
A.G. Mojtibai,James Robison,,1,Directed,
A.J. Banner,Shari Lapena,,1,Directed,
A.J. Finn,Araminta Hall,,1,Directed,
A.J. Finn,May Cobb,,1,Directed,
A.J. Finn,Ruth Ware,,1,Directed,
A.J. Jacobs,Amy Sohn,,1,Directed,
A.J. Liebling,Joseph Heller,,1,Directed,
A.L. Kennedy,Colin McAdam,,1,Directed,
A.L. Kennedy,Eden Robinson,,1,Directed,
A.L. Kennedy,Madeleine Thien,,1,Directed,
A.L. Kennedy,Michael Redhill,,1,Directed,
A.L. Kennedy,Niall Griffiths,,1,Directed,
A.L. Kennedy,Pinckney Benedict,,1,Directed,
A.L. Kennedy,Rachel Cantor,,1,Directed,
A.L. Kennedy,Shalom Auslander,,1,Directed,
A.L. Rowse,Stephanie Cowell,,1,Directed,
A.M. Homes,Andrew Solomon,,1,Directed,
A.M. Homes,Ben Schrank,,1,Directed,
A.M. Homes,Brad Watson,,1,Directed,
A.M. Homes,Charles Bock,,1,Directed,
A.M. Homes,Christopher Bollen,,1,Directed,
A.M. Homes,Elissa Schappell,,1,Directed,
A.M. Homes,Elliott Holt,,1,Directed,
A.M. Homes,Heidi Julavits,,1,Directed,
A.M. Homes,Helen Schulman,,1,Directed,
A.M. Homes,Hilma Wolitzer,,1,Directed,
A.M. Homes,Jeff Garigliano,,1,Directed,
A.M. Homes,Jennifer Gilmore,,1,Directed,
A.M. Homes,Jill Bialosky,,1,Directed,
A.M. Homes,John Haskell,,1,Directed,
A.M. Homes,Jonathan Ames,,1,Directed,
A.M. Homes,Madison Smartt Bell,,1,Directed,
A.M. Homes,Maggie Estep,,1,Directed,
A.M. Homes,Michael Sledge,,1,Directed,
A.M. Homes,Miranda July,,1,Directed,
A.M. Homes,Neel Mukherjee,,1,Directed,
A.M. Homes,Nicole Krauss,,1,Directed,
A.M. Homes,Patricia Volk,,1,Directed,
A.M. Homes,Rick Moody,,1,Directed,
A.M. Homes,Sheila Kohler,,1,Directed,
A.M. Homes,Shirley Jackson,,1,Directed,
A.M. Homes,Tom Spanbauer,,1,Directed,
A.R. Ammons,Dan McCall,,1,Directed,
A.R. Ammons,Frank Manley,,1,Directed,
A.R. Ammons,Mark Merlis,,1,Directed,
A.R. Gurney,Rebecca Miller,,1,Directed,
A.S. Byatt,A.L. Kennedy,,1,Directed,
A.S. Byatt,David Mitchell,,1,Directed,
A.S. Byatt,Grace Paley,,1,Directed,
A.S. Byatt,Louis de Bernieres,,1,Directed,
A.S. Byatt,Michelle de Kretser,,1,Directed,
A.S. Byatt,Nadeem Aslam,,1,Directed,
A.S. Byatt,Penelope Fitzgerald,,1,Directed,
A.S. Byatt,Tim Pears,,1,Directed,
A.S. Byatt,William Styron,,1,Directed,
A'Lelia Bundles,Jewell Parker Rhodes,,1,Directed,
Aaron Dietz,Ben Loory,,1,Directed,
Aaron Elkins,Carolyn G. Hart,,1,Directed,
Aaron Elkins,Diana O'Hehir,,1,Directed,
Aaron Elkins,Stephen White,,1,Directed,
Aaron Gwyn,David Abrams,,1,Directed,
Aaron Gwyn,Gregory Sherl,,1,Directed,
Aaron Hamburger,Ellis Avery,,1,Directed,
Aaron Hamburger,Erik Barmack,,1,Directed,
Aaron Hamburger,Pierre Merot,,1,Directed,
Aaron Hamburger,Vestal McIntyre,,1,Directed,
Aaron Kunin,Bennett Sims,,1,Directed,
Aaron Roy Even,Alexander Parsons,,1,Directed,
Abby Frucht,Caroline Leavitt,,1,Directed,
Abby Frucht,Elizabeth Crane,,1,Directed,
Abby Frucht,Lindsay Ahl,,1,Directed,
Abby Geni,Kim Brooks,,1,Directed,
Abigail Tattelin,Nathan Filer,,1,Directed,
