Source,Target,Label,Weight,Type
"""JT Leroy""",Eileen Myles,,1,Directed
"""JT Leroy""",Jerry Stahl,,1,Directed
"""JT Leroy""",Nic Kelman,,1,Directed
"""JT Leroy""",Rene Steinke,,1,Directed
"""JT Leroy""",Stephen Elliott,,1,Directed
A. Alvarez,Ian McEwan,,1,Directed
A. Alvarez,James Salter,,1,Directed
A. Igoni Barrett,Jowhor Ile,,1,Directed
A. Manette Ansay,Elizabeth Graver,,1,Directed
A. Manette Ansay,Jack Driscoll,,1,Directed
A. Manette Ansay,Lisa Lerner,,1,Directed
A. Manette Ansay,Michael C. White,,1,Directed
A. Manette Ansay,Stewart O'Nan,,1,Directed
A. Manette Ansay,Suzanne Matson,,1,Directed
A.A. MacQueen,Terry Kay,,1,Directed
A.B. Guthrie Jr.,Jack Matthews,,1,Directed
A.B. Guthrie Jr.,James Lee Burke,,1,Directed
A.B. Guthrie Jr.,James Willard Schultz,,1,Directed
A.B. Guthrie Jr.,Robert Flynn,,1,Directed
A.B. Guthrie Jr.,Theodore Morrison,,1,Directed
A.B. Guthrie Jr.,William Decker,,1,Directed
A.C. Greene,Bobby Jack Nelson,,1,Directed
A.C. Greene,Charles Portis,,1,Directed
A.D. Jameson,Colin Winnette,,1,Directed
A.D. Miller,David Bezmozgis,,1,Directed
A.D. Miller,Jonathan Lee,,1,Directed
A.D. Miller,Simon Sebag Montefiore,,1,Directed
A.E. Hotchner,David A. Tate,,1,Directed
A.E. van Vogt,George R.R. Martin,,1,Directed
A.G. Mojtibai,James Robison,,1,Directed
A.J. Finn,Araminta Hall,,1,Directed
A.J. Liebling,Joseph Heller,,1,Directed
A.L. Kennedy,Colin McAdam,,1,Directed
A.L. Kennedy,Eden Robinson,,1,Directed
A.L. Kennedy,Madeleine Thien,,1,Directed
A.L. Kennedy,Michael Redhill,,1,Directed
A.L. Kennedy,Pinckney Benedict,,1,Directed
A.L. Kennedy,Rachel Cantor,,1,Directed
A.L. Kennedy,Shalom Auslander,,1,Directed
A.M. Homes,Brad Watson,,1,Directed
A.M. Homes,Charles Bock,,1,Directed
